study_hours_per_day,phone_usage_hours,social_media_hours,youtube_hours,gaming_hours,breaks_per_day,coffee_intake_mg,assignments_completed,attendance_percentage,focus_score,sleep_hours,stress_level,exercise_minutes,productivity_score,productivity_label
4.35,3.38,2.73,1.83,5.26,6,347,2,57.21,57,5.415,7.0,85.5,37.41348094697805,Low
6.14,5.48,1.51,3.13,1.73,13,403,10,91.27,49,7.39,6.5,51.5,64.57219528094792,Medium
4.98,4.83,3.63,0.18,4.71,1,419,8,63.14,38,4.68,5.0,96.0,33.910828733727946,Low
3.19,10.06,3.95,5.75,2.52,9,178,18,40.51,50,5.34,6.0,35.0,44.91921062028603,Low
7.67,3.02,1.59,5.46,5.65,8,436,7,45.53,41,6.154999999999999,7.0,67.5,71.96749606599158,Medium
7.18,4.02,3.74,1.42,0.16,10,392,3,47.58,70,5.11,7.0,28.5,55.54658992791416,Medium
9.06,11.45,5.99,2.2,4.44,14,87,15,43.5,35,7.03,7.0,51.5,49.23711888616142,Low
6.37,3.31,1.37,4.36,5.13,2,152,17,75.22,59,6.03,5.0,81.5,86.56834711223594,High
4.19,9.66,2.87,0.1,3.38,13,460,11,44.79,39,6.035,3.5,51.0,45.70316923643534,Low
7.28,2.13,0.81,1.35,2.55,7,416,6,79.15,73,8.68,7.5,98.5,93.50805925927104,High
6.38,7.25,1.72,3.08,1.36,12,124,2,54.99,82,8.165,6.5,38.0,59.40263548822979,Medium
6.36,1.56,3.46,2.18,0.2,11,215,13,86.6,92,8.355,7.0,67.5,85.91947386575501,High
8.57,5.21,7.8,0.66,5.38,8,199,3,77.02,86,7.564999999999999,3.0,50.5,73.37467497990795,High
9.15,11.49,5.59,3.33,0.57,11,496,7,93.99,78,8.225,4.0,54.0,67.66733418816224,Medium
2.21,7.89,7.45,4.93,5.5,4,58,6,67.85,96,8.48,5.5,94.5,63.06846522699895,Medium
3.48,2.89,0.84,1.39,3.49,4,188,10,63.49,97,8.59,5.0,89.0,81.6126710039425,High
